system:index,mean,.geo
76,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.35441432522241,-9.593355371227668]}"
77,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.28910850702194,-9.591986779376782]}"
78,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.18583463774648,-9.668356006564867]}"
79,0.82,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.26821535137344,-9.605556241377778]}"
80,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.15577249584522,-9.650994701612147]}"
81,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.32684872553209,-9.642924421025864]}"
82,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.206257891689276,-9.681284815105009]}"
83,0.82,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.40607932282042,-9.643344040184648]}"
84,0.97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.33460365396267,-9.668891213566589]}"
85,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.223779814273286,-9.626469381563611]}"
86,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.225574866186015,-9.608668200970756]}"
87,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.18624848391989,-9.575320171860794]}"
88,0.97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.283082499762955,-9.628624762666217]}"
89,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.281534979102304,-9.685092627403689]}"
90,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.244526001737825,-9.632488109283512]}"
91,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.257526543318974,-9.652777157209396]}"
92,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.190932087943516,-9.598126427360619]}"
93,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.26004493096975,-9.652722843992493]}"
94,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.39505959470735,-9.60672402297403]}"
95,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.19915010200493,-9.625874413942496]}"
96,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.24333481476665,-9.65838497663708]}"
97,0.69,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.16936423239706,-9.66473181923493]}"
98,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.38474519072735,-9.654016606334068]}"
99,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.15851626333868,-9.58645133063613]}"
100,0.7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.28046389903341,-9.578436559747315]}"
101,0.97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.353202777273424,-9.663437822698677]}"
102,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.3371678385639,-9.63068217375103]}"
103,0.56,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.42077865534695,-9.65960296549012]}"
104,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.222721374546964,-9.658623848797252]}"
105,0.96,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.367732892645854,-9.603163983990697]}"
106,0.2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.36073338641821,-9.689479966918931]}"
107,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.33825695783527,-9.578656213983733]}"
108,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.29470718572543,-9.632075640952635]}"
109,0.89,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.35008709141981,-9.67761772419428]}"
110,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.22367242255358,-9.584423508956998]}"
111,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.360003624892954,-9.661608961792169]}"
112,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.28958777874953,-9.62192673390874]}"
113,0.44,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.411259189006934,-9.689080160807954]}"
114,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.178527450285706,-9.66308924352691]}"
115,0.89,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.425264365071776,-9.686356343459785]}"
116,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.25771896241948,-9.593773410034006]}"
117,0.98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.32768419943474,-9.653283203786815]}"
118,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.295379952887444,-9.667509079990424]}"
119,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.37184971868295,-9.612666948504076]}"
120,0.89,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.20458628659597,-9.689448830037426]}"
121,0.82,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.42171484749146,-9.584664822924488]}"
122,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.21957879028659,-9.64417354106024]}"
123,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.410111299363976,-9.59631308248129]}"
124,0.47,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.424243143562244,-9.656097390588725]}"
125,0.71,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.16320657108052,-9.5859784026443]}"
